practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,primary_taxonomy,taxonomy_code,estimated_physician_count,physician_names_sample,npi,enumeration_type,enumeration_date,last_updated,authorized_official_name,authorized_official_title,all_taxonomies,country,Called_Status,Date Called,Daytime Call Time,After Hrs Call Time,Category_A_FollowUp_WorkHours,Category_B_NewPatient_WorkHours,Category_C_AfterHours_FollowUp,Category_D_AfterHrs_NewPatient,Overall_System_Type,Unified_Call_Notes,AI_Failure_Mode,Failure_Description,Recommended_Improvement
"OCPN-UOI, INC.",(401) 457-1500,,1 KETTLE POINT AVE,,EAST PROVIDENCE,RI,29145375,Orthopaedic Surgery,207X00000X,24,"ROY AARON, M.D.; VALENTIN ANTOCI, MD, PHD; BRAD BLANKENHORN, M.D.; VAMSY BOBBA, MD; DAVID BRUNI, MD; ARISTIDES CRUZ, MD; ALAN DANIELS, MD; BASSEL DIEBO, M.D.; JOHN FROEHLICH, M.D.; JOSEPH GIL, M.D.",1619553914,NPI-2,2021-03-18,2021-03-18,WEBER SHILL,Chief Executive Officer,Orthopaedic Surgery,United States,Yes,03/25/2026,12:39pm CST,8:05pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Ocpn-Uoi, Inc. and selected option 2 to connect with the patient scheduling team.",Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
"UNIVERSITY ORTHOPEDIC ASSOCIATES, PLLC",(601) 984-6525,601-984-5485,2500 N STATE ST,,JACKSON,MS,392164500,Orthopaedic Surgery,207X00000X,20,"KYLIE DUFRENE; HUMBERTO APARICIO, MD; JENNIFER BARR, MD; GENE BARRETT, MD; PATRICK BERGIN, M.D.; KENDALL BLAKE, MD; LATOYA BRAYLOCK; STEPHEN CHEN; WILLIAM DAY, MD; KYLE DEIVERT",1477662211,NPI-2,2006-08-29,2007-11-15,ROBERT MCGUIRE,Chairman,Orthopaedic Surgery,United States,Yes,03/25/2026,12:45om cst,8:08pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Connected with a live staff member at University Orthopedic Associates, Pllc who successfully facilitated a patient scheduling request.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
ASSOCIATION OF CHMC AND UNIVERSITY PHYSICIANS,(206) 731-3000,,325 9TH AVE,,SEATTLE,WA,981042420,"Orthopaedic Surgery, Orthopaedic Trauma",207XX0801X,17,"TAYLOR BEATTY, D.O.; MICHAEL CHEN; JOSEPH DYNAKO, MD; MONTHER ABUHANTASH; CHRISTOPHER ALLAN, M.D.; KELLY APOSTLE, M.D.; KIVANC ATESOK, MD, MSc; ANDREW BACHINSKAS; TAYLOR BEATTY, D.O.; CARLO BELLABARBA, MD",1215153671,NPI-2,2007-04-17,2008-06-12,PATTI ADAMICH,Associate Director of Finance,"Anesthesiology, Critical Care Medicine; Pediatrics, Pediatric Critical Care Medicine; Physical Medicine & Rehabilitation; Surgery, Surgical Critical Care; Surgery, Plastic and Reconstructive Surgery; Surgery, Trauma Surgery; Orthopaedic Surgery, Orthopaedic Trauma",United States,Yes,03/25/2026,12:46om cst,8:09pm CST,AI,AI,AI,AI,AI,"Initial contact with Association Of Chmc And University Physicians was greeted by a recording, but a live operator subsequently connected to handle the patient inquiry.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
"ORTHOALASKA, LLC",(907) 562-2277,907-563-3460,3801 LAKE OTIS PKWY STE 300,,ANCHORAGE,AK,995085234,Orthopaedic Surgery,207X00000X,16,"TUCKER DRURY, MD; IAIN ELLIOTT, M.D.; ADAM ELLISON, M.D.; GENE FALKOWSKI, D.O.; MARY FOX, M.D.; RABUN FOX; BRYAN HAUGHOM, MD; JESSIE JANOWSKI, M.D.; DANN LAUDERMILCH, M.D.; CURTIS MINA, M.D.",1871529990,NPI-2,2006-06-23,2016-05-19,EUGENE CHANG,Physician/Owner,"Durable Medical Equipment & Medical Supplies, Customized Equipment; Internal Medicine, Rheumatology; Orthopaedic Surgery",United States,Yes,03/25/2026,1:01pm CST,8:11pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Connected with a live staff member at Orthoalaska, Llc who successfully facilitated a patient scheduling request.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
"ORTHOARKANSAS, PA",(501) 663-3647,501-666-9653,800 FAIR PARK BLVD,,LITTLE ROCK,AR,72204,Durable Medical Equipment & Medical Supplies,332B00000X,14,"JEANINE ANDERSSON, M.D.; GREGORY ARDOIN, MD; DAVID BARNETT, M.D.; DAVID BLACK, MD; MATTHEW BURN, M.D.; ERIC GORDON, MD; DERRICK HENRY, MD; MICHAEL HUSSEY, MD; PHILIP JOHNSON, M.D.; LOUIS JONES, M.D.",1669640496,NPI-2,2008-02-14,2021-06-24,TRACI FOX,Director of Operations,"Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Trauma; Durable Medical Equipment & Medical Supplies",United States,Yes,03/25/2026,1:08pm CST,8:13pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Orthoarkansas, Pa and selected option 1 to connect with the patient scheduling team.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
SLOCUM ORTHOPEDICS PC,(541) 485-8111,541-868-0883,55 COBURG RD,,EUGENE,OR,974012433,Orthopaedic Surgery,207X00000X,14,"HEATHER CAMPION, M.D.; CHRISTOPHER CYCHOSZ, MD; LYLE JACKSON, M.D.; LUCAS KORCEK, M.D.; GERALD AGGREY, MD; DAVID BEAR, MD; KENNETH BUTTERS, M.D.; HEATHER CAMPION, M.D.; DENNIS COLLIS, MD; CHRISTOPHER CYCHOSZ, MD",1033236880,NPI-2,2007-03-26,2008-06-09,JOHN BAUMAN,Administrator,Orthopaedic Surgery,United States,Yes,03/25/2026,1:04pm CST,8:15pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Navigated the IVR system for Slocum Orthopedics Pc by pressing 3 to reach the appropriate department.,Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
DESERT ORTHOPAEDIC BILLING LLC,(702) 731-1616,702-869-3542,2800 E DESERT INN RD STE 100,,LAS VEGAS,NV,891213609,Orthopaedic Surgery,207X00000X,12,"CHELSEY ADAMS, PA; AJIT AMESUR, DO; JOHN BALDAUF, M.D.; ROGER FONTES, MD; GUSTAVO GARCIA, M.D.; KYLE HANCOCK, M.D.; MARK HANSEN, M.D.; SYED HASAN, MD; LAWRENCE HUFF, MD; DANIEL LEE, M.D.",1972825602,NPI-2,2010-02-22,2024-08-07,MICHAEL PENDLETON,CEO,Orthopaedic Surgery,United States,Yes,03/25/2026,1:33pm CST,8:18pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Accessed the automated menu at Desert Orthopaedic Billing Llc and selected option 4 to connect with the patient scheduling team.,The Infinite Loop,Selecting the scheduling option erroneously returned the caller to the main menu greeting.,Verify internal PBX routing links between the IVR software and the front desk extensions.
"BLACK HILLS ORTHOPEDIC & SPINE CENTER, INC.",(605) 341-1414,605-341-7062,7220 MOUNT RUSHMORE RD,,RAPID CITY,SD,577028754,"Clinic/Center, Multi-Specialty",261QM1300X,12,"MARGARET CHILVERS, MD; CLARK DUCHENE, MD; AARON DYKSTRA, M.D.; ZACHARY FINLEY, MD; STEVEN GIUSEFFI, M.D.; NATHAN JACOBSON, MD; BRYAN LARSON, MD; JEFFREY MARRS, MD; EMMETT MCELENEY, M.D.; SAMUEL MORTIMER, MD",1477523678,NPI-2,2006-01-23,2025-01-13,TONY MORRISON,"VP, Revenue Cycle","Orthopaedic Surgery; Clinic/Center, Multi-Specialty",United States,Yes,03/25/2026,1:35pm CST,8:20pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Black Hills Orthopedic & Spine Center, Inc. and selected option 1 to connect with the patient scheduling team.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
"ORTHOPAEDIC ASSOCIATES OF PORTLAND, PA",(207) 828-2100,207-828-2190,33 SEWALL ST,,PORTLAND,ME,41022603,Orthopaedic Surgery,207X00000X,11,"DIRK ASHERMAN, M.D.; STEPHEN BARR, M.D.; ALLISON BAYSOL, PA-C; DOUGLAS BROWN, M.D.; JOHN CHANCE, M.D.; BRUCE GOMBERG, MD; PETER GUAY, D.O; KATHRYN HANNA, M.D.; ERIC HOFFMAN, M.D.; BENJAMIN HUFFARD, M.D.",1295729531,NPI-2,2005-09-01,2011-10-12,WILLIAM WIPFLER,Officer,Orthopaedic Surgery,United States,Yes,03/25/2026,1:45pm CST,8:22pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Connected with a live staff member at Orthopaedic Associates Of Portland, Pa who successfully facilitated a patient scheduling request.",The Infinite Loop,Selecting the scheduling option erroneously returned the caller to the main menu greeting.,Verify internal PBX routing links between the IVR software and the front desk extensions.
ANDREW D PEARLE MD PC,(212) 774-2878,212-774-2798,535 E 70TH ST,,NEW YORK,NY,100214898,Orthopaedic Surgery,207X00000X,11,"KATHRYN BARTH, MD; MICHAEL ADASHEV; MATTHEW ABOLA, MD; MICHAEL ADASHEV; TODD ALBERT, MD; ANSWORTH ALLEN, MD; ALEX ANATONE; NICOLE BAKER, MD; KATHRYN BARTH, MD; ALEX ANATONE",1285866392,NPI-2,2009-08-24,2021-03-25,ANDREW PEARLE,President,Orthopaedic Surgery,United States,Yes,03/25/2026,1:38pm CST,8:24pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Connected with a live staff member at Andrew D Pearle Md Pc who successfully facilitated a patient scheduling request.,Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
