practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,primary_taxonomy,taxonomy_code,estimated_physician_count,physician_names_sample,npi,enumeration_type,enumeration_date,last_updated,authorized_official_name,authorized_official_title,all_taxonomies,country,Called_Status,Date Called,Daytime Call Time,After Hrs Call Time,Category_A_FollowUp_WorkHours,Category_B_NewPatient_WorkHours,Category_C_AfterHours_FollowUp,Category_D_AfterHrs_NewPatient,Overall_System_Type,Unified_Call_Notes
DENNIS W BURKE MD PC,(617) 726-3411,617-726-1612,55 FRUIT ST,YAWKEY 3B,BOSTON,MA,2114,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,29,"AVINESH AGARWALLA, MD; PETER BAGLIEN, DO; AVINESH AGARWALLA, MD; GEORGES BOUNAJEM, M.D.; ARUN ANEJA, MD, Ph.D.; AVINESH AGARWALLA, MD; MAURICE ALBRIGHT, MD; KYLE ALPAUGH, M.D.; AMGAD AMIN, M.D; ARUN ANEJA, MD, Ph.D.",1104085604,NPI-2,2008-06-09,2008-06-09,DENNIS BURKE,Physician,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States,Yes,03/25/2026,12:30pm CST,8:00pm CST,Human,Human,Human,Human,Human,Spoke with a live representative at Dennis W Burke Md Pc and successfully connect with the patient appointment scheduling team.
MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION INC,(617) 724-0287,617-228-4315,55 FRUIT ST,BUL 2,BOSTON,MA,21142621,Dermatology,207N00000X,29,"AVINESH AGARWALLA, MD; PETER BAGLIEN, DO; AVINESH AGARWALLA, MD; GEORGES BOUNAJEM, M.D.; ARUN ANEJA, MD, Ph.D.; AVINESH AGARWALLA, MD; MAURICE ALBRIGHT, MD; KYLE ALPAUGH, M.D.; AMGAD AMIN, M.D; ARUN ANEJA, MD, Ph.D.",1801874573,NPI-2,2006-01-04,2024-03-25,MARCELA DEL CARMEN,President & CEO,"Oral & Maxillofacial Surgery; Anesthesiology, Critical Care Medicine; Dermatology; Emergency Medicine; Internal Medicine; Neurological Surgery; Obstetrics & Gynecology; Orthopaedic Surgery; Pathology, Anatomic Pathology & Clinical Pathology; Pediatrics; Physical Medicine & Rehabilitation; Psychiatry & Neurology, Neurology; Psychiatry & Neurology, Psychiatry; Radiology, Diagnostic Radiology; Surgery",United States,Yes,03/25/2026,12:33pm CST,8:02pm CST,N/A (Wrong Number),N/A (Wrong Number),N/A (Wrong Number),N/A (Wrong Number),N/A,"Verified that the listed number for Massachusetts General Physicians Organization Inc is incorrect; for scheduling, callers are redirected to 617-726-2170."
"MANUS, LLC",(605) 334-5890,,810 E 23RD ST,,SIOUX FALLS,SD,571052135,Orthopaedic Surgery,207X00000X,27,"MICHAEL ADLER, MD; GREGORY ALVINE, MD; KEITH BAUMGARTEN, MD; GAIL BENSON, MD; WALTER CARLSON, MD; KWANG CHANG, MD; RICHARD CURD, MD; ANTHONY FIEGEN, MD; EVAN HERMANSON, M.D.; ANDREW HOLMSTROM, PA-C",1861022543,NPI-2,2020-01-22,2020-01-22,RICHARD CURD,CEO,Orthopaedic Surgery,United States,Yes,03/25/2026,12:35pm CST,8:03pm CST,N/A (Wrong Number),N/A (Wrong Number),N/A (Wrong Number),N/A (Wrong Number),N/A,"Identified a listing error for Manus, Llc. The system requested a number verification and redial."
"OCPN-UOI, INC.",(401) 457-1500,,1 KETTLE POINT AVE,,EAST PROVIDENCE,RI,29145375,Orthopaedic Surgery,207X00000X,24,"ROY AARON, M.D.; VALENTIN ANTOCI, MD, PHD; BRAD BLANKENHORN, M.D.; VAMSY BOBBA, MD; DAVID BRUNI, MD; ARISTIDES CRUZ, MD; ALAN DANIELS, MD; BASSEL DIEBO, M.D.; JOHN FROEHLICH, M.D.; JOSEPH GIL, M.D.",1619553914,NPI-2,2021-03-18,2021-03-18,WEBER SHILL,Chief Executive Officer,Orthopaedic Surgery,United States,Yes,03/25/2026,12:39pm CST,8:05pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Ocpn-Uoi, Inc. and selected option 2 to connect with the patient scheduling team."
MISSISSIPPI SPORTS MEDICINE & ORTHOPAEDIC CENTER,(601) 949-9106,601-351-5980,1325 E FORTIFICATION ST,,JACKSON,MS,392022442,Orthopaedic Surgery,207X00000X,23,"JEFF ALMAND, MD; AUSTIN BARRETT, M.D.; JACK BEALE, MD; JAMEY BURROW, MD; GRAHAM CALVERT, M.D.; COLIN COOPER, M.D.; ANDREW COUTURE, MD; JASON CRAFT, M.D.; WOOD DALE, MD; OMKAR DAVE, M.D.",1568415560,NPI-2,2006-05-19,2025-11-03,MEREDITH WARF,CEO,Orthopaedic Surgery,United States,Yes,03/25/2026,12:40om cst,8:06pm CST,N/A (Wrong Number),N/A (Wrong Number),N/A (Wrong Number),N/A (Wrong Number),N/A,Verified status for Mississippi Sports Medicine & Orthopaedic Center: Not available at this time not available .
"UNIVERSITY ORTHOPEDIC ASSOCIATES, PLLC",(601) 984-6525,601-984-5485,2500 N STATE ST,,JACKSON,MS,392164500,Orthopaedic Surgery,207X00000X,20,"KYLIE DUFRENE; HUMBERTO APARICIO, MD; JENNIFER BARR, MD; GENE BARRETT, MD; PATRICK BERGIN, M.D.; KENDALL BLAKE, MD; LATOYA BRAYLOCK; STEPHEN CHEN; WILLIAM DAY, MD; KYLE DEIVERT",1477662211,NPI-2,2006-08-29,2007-11-15,ROBERT MCGUIRE,Chairman,Orthopaedic Surgery,United States,Yes,03/25/2026,12:45om cst,8:08pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Connected with a live staff member at University Orthopedic Associates, Pllc who successfully facilitated a patient scheduling request."
ASSOCIATION OF CHMC AND UNIVERSITY PHYSICIANS,(206) 731-3000,,325 9TH AVE,,SEATTLE,WA,981042420,"Orthopaedic Surgery, Orthopaedic Trauma",207XX0801X,17,"TAYLOR BEATTY, D.O.; MICHAEL CHEN; JOSEPH DYNAKO, MD; MONTHER ABUHANTASH; CHRISTOPHER ALLAN, M.D.; KELLY APOSTLE, M.D.; KIVANC ATESOK, MD, MSc; ANDREW BACHINSKAS; TAYLOR BEATTY, D.O.; CARLO BELLABARBA, MD",1215153671,NPI-2,2007-04-17,2008-06-12,PATTI ADAMICH,Associate Director of Finance,"Anesthesiology, Critical Care Medicine; Pediatrics, Pediatric Critical Care Medicine; Physical Medicine & Rehabilitation; Surgery, Surgical Critical Care; Surgery, Plastic and Reconstructive Surgery; Surgery, Trauma Surgery; Orthopaedic Surgery, Orthopaedic Trauma",United States,Yes,03/25/2026,12:46om cst,8:09pm CST,AI,AI,AI,AI,AI,"Initial contact with Association Of Chmc And University Physicians was greeted by a recording, but a live operator subsequently connected to handle the patient inquiry."
"ORTHOALASKA, LLC",(907) 562-2277,907-563-3460,3801 LAKE OTIS PKWY STE 300,,ANCHORAGE,AK,995085234,Orthopaedic Surgery,207X00000X,16,"TUCKER DRURY, MD; IAIN ELLIOTT, M.D.; ADAM ELLISON, M.D.; GENE FALKOWSKI, D.O.; MARY FOX, M.D.; RABUN FOX; BRYAN HAUGHOM, MD; JESSIE JANOWSKI, M.D.; DANN LAUDERMILCH, M.D.; CURTIS MINA, M.D.",1871529990,NPI-2,2006-06-23,2016-05-19,EUGENE CHANG,Physician/Owner,"Durable Medical Equipment & Medical Supplies, Customized Equipment; Internal Medicine, Rheumatology; Orthopaedic Surgery",United States,Yes,03/25/2026,1:01pm CST,8:11pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Connected with a live staff member at Orthoalaska, Llc who successfully facilitated a patient scheduling request."
"ORTHOARKANSAS, PA",(501) 663-3647,501-666-9653,800 FAIR PARK BLVD,,LITTLE ROCK,AR,72204,Durable Medical Equipment & Medical Supplies,332B00000X,14,"JEANINE ANDERSSON, M.D.; GREGORY ARDOIN, MD; DAVID BARNETT, M.D.; DAVID BLACK, MD; MATTHEW BURN, M.D.; ERIC GORDON, MD; DERRICK HENRY, MD; MICHAEL HUSSEY, MD; PHILIP JOHNSON, M.D.; LOUIS JONES, M.D.",1669640496,NPI-2,2008-02-14,2021-06-24,TRACI FOX,Director of Operations,"Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Trauma; Durable Medical Equipment & Medical Supplies",United States,Yes,03/25/2026,1:08pm CST,8:13pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Orthoarkansas, Pa and selected option 1 to connect with the patient scheduling team."
SLOCUM ORTHOPEDICS PC,(541) 485-8111,541-868-0883,55 COBURG RD,,EUGENE,OR,974012433,Orthopaedic Surgery,207X00000X,14,"HEATHER CAMPION, M.D.; CHRISTOPHER CYCHOSZ, MD; LYLE JACKSON, M.D.; LUCAS KORCEK, M.D.; GERALD AGGREY, MD; DAVID BEAR, MD; KENNETH BUTTERS, M.D.; HEATHER CAMPION, M.D.; DENNIS COLLIS, MD; CHRISTOPHER CYCHOSZ, MD",1033236880,NPI-2,2007-03-26,2008-06-09,JOHN BAUMAN,Administrator,Orthopaedic Surgery,United States,Yes,03/25/2026,1:04pm CST,8:15pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Navigated the IVR system for Slocum Orthopedics Pc by pressing 3 to reach the appropriate department.
