npi,enumeration_type,practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,country,primary_taxonomy,taxonomy_code,all_taxonomies,enumeration_date,last_updated,status,authorized_official_name,authorized_official_title,estimated_physician_count,physician_names_sample
1407182264,NPI-2,ADVANCED ORTHOPAEDICS LLC,251-342-3949,251-631-3361,6701 AIRPORT BLVD,SUITE B114,MOBILE,AL,366086705,United States,Orthopaedic Surgery,207X00000X,"Durable Medical Equipment & Medical Supplies, Customized Equipment; Orthopaedic Surgery",2009-10-28,2010-06-16,A,WILLIAM BOSE,Sole Proprietor,1,"WILLIAM BOSE, MD"
1447588850,NPI-2,AFFINITY ORTHOPEDIC SERVICES LLC,205-397-5200,205-397-5220,720 MONTCLAIR RD,,BIRMINGHAM,AL,352131964,United States,Orthopaedic Surgery,207X00000X,"Internal Medicine, Sports Medicine; Orthopaedic Surgery",2009-11-23,2009-11-23,A,DEBBIE BREWER,DIRECTOR / AUTHORIZED OFFICIAL,1,"STEPHEN COWLEY, MD"
1215407226,NPI-2,AFFINITY ORTHOPEDIC SPECIALISTS LLC,205-971-1901,205-971-1902,5018 CAHABA RIVER RD,,VESTAVIA,AL,352432317,United States,Orthopaedic Surgery,207X00000X,"Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery",2018-12-03,2019-01-23,A,JAMES WRIGHT,VP Physician Business Services,2,"SCOTT APPELL, M.D.; JOHNNY GIBBS, M.D."
1780980540,NPI-2,"ALABAMA BONE & JOINT CLINIC,LLC",205-621-3778,,1022 1ST ST N,SUITE 220,ALABASTER,AL,350078706,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2011-01-26,2011-09-19,A,CHAD MATHIS,DELEGATED OFFICIAL,0,
1326612243,NPI-2,"ALABAMA ORTHOPAEDIC CLINIC, P.C.",251-410-3600,251-410-3700,75 SHELL STREET,,SARALAND,AL,36571,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2021-05-15,2021-05-15,A,MICHAEL PIVER,Chief Executive Officer,0,
1285958421,NPI-2,"ALABAMA ORTHOPAEDIC CLINIC, P.C.",251-410-3600,251-410-3700,1720 SPRINGHILL AVE,SUITE 301,MOBILE,AL,366041410,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2010-03-17,2019-04-23,A,RUSSELL HUDGENS,President,0,
1417022237,NPI-2,"ALABAMA ORTHOPAEDIC CLINIC, PC",251-621-2501,251-621-2502,7101 US HIGHWAY 98 STE 203,,DAPHNE,AL,365269512,United States,Orthopaedic Surgery,207X00000X,"Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery",2006-11-21,2020-06-01,A,ROBERT BROWN,CEO,0,
1487720355,NPI-2,"ALABAMA ORTHOPAEDIC CLINIC, PC",251-246-5761,,220 HOSPITAL AVE,,JACKSON,AL,36545,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-11-24,2019-04-23,A,RUSSELL HUDGENS,President,0,
1508931866,NPI-2,"ALABAMA ORTHOPAEDIC CLINIC, PC",251-847-2223,,HWY 56 ST STEPHENS AVE,,CHATOM,AL,365181299,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-11-22,2019-04-23,A,RUSSELL HUDGENS,President,0,
1972755155,NPI-2,"ALABAMA ORTHOPAEDIC SPECIALISTS, P.A.",334-274-9000,334-274-0857,4630 WOODMERE BLVD.,,MONTGOMERY,AL,361062906,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2008-10-21,2020-05-11,A,RONALD O'NEAL,Administrator,0,
1134303241,NPI-2,"ALABAMA ORTHOPAEDIC SPECIALISTS, P.A.",334-274-9000,334-274-0857,277 HUNTRESS ST,2ND FLOOR,WETUMPKA,AL,360925504,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2007-12-26,2020-05-12,A,RONALD O'NEAL,Administrator,0,
1689858797,NPI-2,"ALABAMA ORTHOPAEDIC SPECIALISTS, P.A.",334-274-9000,334-274-0857,461 E MAIN ST,,PRATTVILLE,AL,360673409,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2007-12-26,2020-05-11,A,RONALD O'NEAL,Administrator,0,
1033267471,NPI-2,"ALABAMA ORTHOPAEDIC SPECIALISTS, P.A.",334-274-9000,334-274-0857,4294 LOMAC ST,,MONTGOMERY,AL,361063604,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2007-01-08,2020-05-11,A,RONALD O'NEAL,Administrator,3,"STEVEN BARRINGTON, MD; MICHAEL DAVIS, MD; STEVEN BARRINGTON, MD"
1174960926,NPI-2,ALABAMA ORTHOPAEDIC SPORTS MEDICINE LLC,251-491-2676,251-491-2685,6401 JORDAN RD,SUITE A,DAPHNE,AL,365264728,United States,"Orthopaedic Surgery, Sports Medicine",207XX0005X,"Orthopaedic Surgery, Sports Medicine",2013-06-03,2025-10-08,A,DANIEL MATTHEWS,Sole Member,0,
1073620886,NPI-2,"ALABAMA ORTHOPEDIC INSTITUTE, INC.",256-734-4700,,1908 CHEROKEE AVE SW,,CULLMAN,AL,350555502,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-08-25,2019-12-31,A,STEVEN FULLER,President/owner,1,"STEVEN FULLER, D.O."
1659344984,NPI-2,ALABAMA ORTHOPEDIC SPINE & SPORTS MEDICINE ASSOCIATES P C,205-838-3900,205-838-3906,1801 GADSDEN HIGHWAY,,BIRMINGHAM,AL,35235,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-02-08,2016-02-19,A,ORLEAN BRUCE,Administrator,0,
1730304338,NPI-2,"ALABAMA SPINE & JOINT CENTER, P.C.",205-824-8201,,513 BROOKWOOD BLVD,SUITE 350,BIRMINGHAM,AL,352096862,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2007-04-17,2008-04-20,A,JOHN CUCKLER,Physician,1,"JOHN CUCKLER, MD"
1205356938,NPI-2,ALABAMA STATE UNIVERSITY,972-367-4845,,915 S JACKSON ST,,MONTGOMERY,AL,361045716,United States,"Orthopaedic Surgery, Sports Medicine",207XX0005X,"Orthopaedic Surgery, Sports Medicine",2017-06-23,2017-06-23,A,MOUZON BASS,Agent,0,
1972866457,NPI-2,"ALLEN ORTHOPEDICS,LLC",251-665-5127,215-665-5159,5613 COTTAGE HILL RD,,MOBILE,AL,366094210,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2012-06-20,2012-06-20,A,HERBERT ALLEN,President,0,
1306131834,NPI-2,ANDALUSIA PHYSICIAN PRACTICES LLC,334-222-4449,334-222-4450,301 MEDICAL AVENUE,SUITE C,ANDALUSIA,AL,36420,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2011-06-13,2023-02-09,A,KATHY TEAGUE,"Vice President, Corporate Secretary",0,
1740425297,NPI-2,ANDALUSIA PHYSICIAN PRACTICES LLC,615-565-1590,,301 MEDICAL DRIVE,SUITE C,ANDALUSIA,AL,36420,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2008-12-12,2023-02-09,A,KATHY TEAGUE,"Vice President, Corporate Secretary",0,
1972870335,NPI-2,ANDALUSIA PHYSICIAN PRACTICES LLC,334-222-1366,334-222-1150,301 MEDICAL AVE STE A,,ANDALUSIA,AL,364201103,United States,Family Medicine,207Q00000X,Internal Medicine; Orthopaedic Surgery; Urology; Nurse Practitioner; Family Medicine,2011-11-29,2023-02-09,A,KATHY TEAGUE,"Vice President, Corporate Secretary",0,
1114916681,NPI-2,ANNISTON ORTHOPEDICS ASSOCIATES PA,256-236-4121,256-237-5254,731 LEIGHTON AVE,STE 300,ANNISTON,AL,362075762,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2005-10-18,2010-02-10,A,WILLIAM PRINCE,Adminstrator,0,
1922245778,NPI-2,"ATHENS LIMESTONE HEALTH SERVICES, LLC",256-216-9630,256-216-9652,209 FITNESS WAY,SUITE C,ATHENS,AL,356112451,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2009-01-15,2009-01-15,A,JAMES COMER,CFO,0,
1669419081,NPI-2,"AUBURN ORTHOPAEDIC CENTER, LLC",334-826-9800,334-826-3441,1800 LAKESIDE CIR,,AUBURN,AL,368302842,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-06-02,2010-06-22,A,BILLY NEW,Administrator,0,
1265053342,NPI-2,"BAYSIDE ORTHOPAEDIC & REHABILITATION CENTER, P.C.",251-928-2401,251-928-5099,101 E 15TH AVE STE B,,GULF SHORES,AL,365423501,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2020-04-30,2020-04-30,A,ROBERT STANLEY,CEO,0,
1578844080,NPI-2,"BAYSIDE ORTHOPAEDIC & REHABILITATION CENTER, P.C.",251-928-2401,251-928-5099,100 LEWIS ST,,EVERGREEN,AL,364013317,United States,Orthopaedic Surgery,207X00000X,Physical Medicine & Rehabilitation; Orthopaedic Surgery,2011-08-30,2019-01-29,A,RACHEL ELLIS,Office Manager,0,
1962783472,NPI-2,"BAYSIDE ORTHOPAEDIC & REHABILITATION CENTER, P.C.",251-928-2401,251-928-5099,1815 HAND AVE,,BAY MINETTE,AL,365074110,United States,Orthopaedic Surgery,207X00000X,Physical Medicine & Rehabilitation; Orthopaedic Surgery,2011-08-30,2019-01-29,A,RACHEL ELLIS,Office Manager,0,
1215014097,NPI-2,BAYSIDE ORTHOPEDIC & REHABILITATION CENTER PC,251-928-2401,251-928-5099,341 GREENO RD N,,FAIRHOPE,AL,365322979,United States,Orthopaedic Surgery,207X00000X,Physical Medicine & Rehabilitation; Orthopaedic Surgery,2006-11-01,2019-04-23,A,RACHEL ELLIS,Office Manager,3,"CARL ALBERTSON, M.D.; JOEY CARTER, MD; JASON DETERMANN, MD"
1174804686,NPI-2,BAYSIDE ORTHOPEDIC & REHABILITATION CENTER PC,251-928-2401,251-928-5099,1622 N MCKENZIE ST,,FOLEY,AL,365352248,United States,Orthopaedic Surgery,207X00000X,Physical Medicine & Rehabilitation; Orthopaedic Surgery,2011-08-30,2019-04-23,A,RACHEL ELLIS,Office Manager,0,
1215419122,NPI-2,"BAYSIDE ORTHOPEDIC & REHABILITATION CENTER, P.C.",251-928-2401,251-928-5099,1121 BELLEVILLE AVE STE A,,BREWTON,AL,364261502,United States,Orthopaedic Surgery,207X00000X,Physical Medicine & Rehabilitation; Orthopaedic Surgery,2018-09-06,2019-04-19,A,RACHEL ELLIS,Credentialing,0,
1023446507,NPI-2,BERRYHILL ORTHOPAEDICS PA,850-626-1461,850-626-3161,1121 BELLEVILLE AVE,,BREWTON,AL,364261500,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2013-10-22,2013-10-22,A,PETER SZYMONIAK,OWNER,0,
1659269454,NPI-2,"BIENVILLE ORTHOPAEDIC SPECIALISTS, LLC",228-230-2663,,10075 GRAND BAY WILMER RD S,,GRAND BAY,AL,365415003,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2025-06-27,2025-06-27,A,LEE BOND,CEO,0,
