practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,primary_taxonomy,taxonomy_code,estimated_physician_count,physician_names_sample,npi,enumeration_type,enumeration_date,last_updated,authorized_official_name,authorized_official_title,all_taxonomies,country
AFT MEDICAL AK LLC,(559) 284-4135,,4739 EGRET ROCK CIR,,ANCHORAGE,AK,995074390,Integrative Medicine,202D00000X,1,"RYAN MOORE, M.D.",1770302374,NPI-2,2024-10-09,2024-12-16,RYAN MOORE,CEO / Medical director,Integrative Medicine; Orthopaedic Surgery; Physician Assistant; Nurse Practitioner,United States
ALASKA BONE & JOINT INSTITUTE PC,(907) 334-6788,907-334-6466,2751 DEBARR RD,SUITE B285,ANCHORAGE,AK,995082953,Orthopaedic Surgery,207X00000X,1,"ROBERT GIERINGER, MD",1720080328,NPI-2,2005-08-12,2008-10-15,TIMOTHY KAVANAUGH,President,Orthopaedic Surgery,United States
"ALASKA HAND SURGERY ASSOCIATES, LLC",(907) 274-2425,907-274-2428,4100 LAKE OTIS PKWY,SUITE 314,ANCHORAGE,AK,995085222,Orthopaedic Surgery,207X00000X,2,"LOREN JENSEN, MD; GEORGE RHYNEER, M.D.",1477746782,NPI-2,2007-08-20,2007-08-20,JOSEPH BEATY,Billing Agent,Orthopaedic Surgery,United States
"ALASKA ORTHOPAEDIC SPECIALISTS, INC",(907) 562-4142,907-563-8824,4100 LAKE OTIS PKWY,SUITE 320,ANCHORAGE,AK,995085222,"Orthopaedic Surgery, Hand Surgery",207XS0106X,2,"LOREN JENSEN, MD; GEORGE RHYNEER, M.D.",1851327274,NPI-2,2006-06-25,2025-09-11,KAREN IAROSSI,Manager,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery",United States
"ALASKA ORTHOPEDIC SPECIALISTS, LLC",(907) 771-3500,907-771-3550,301 W NORTHERN LIGHTS BLVD STE 600,,ANCHORAGE,AK,995032650,"Orthopaedic Surgery, Hand Surgery",207XS0106X,4,"MARK CAYLOR, MD; JASON GRAY, M.D.; TYLER SMITH, MD; STEPHEN TOWER, MD",1497994859,NPI-2,2009-02-09,2025-11-19,JASON GRAY,Owner,"Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Hand Surgery",United States
ALASKA ORTHOPEDICS,(907) 562-4142,,4100 LAKE OTIS PKWY,#320,ANCHORAGE,AK,995085229,"Nurse Practitioner, Family",363LF0000X,2,"LOREN JENSEN, MD; GEORGE RHYNEER, M.D.",1992139737,NPI-2,2013-08-28,2013-08-28,MARK POLITO,Billing Manager,"Orthopaedic Surgery; Nurse Practitioner, Family",United States
ALASKA PATIENTS FIRST LLC,(907) 277-9700,907-868-1215,2751 DEBARR RD STE 310,,ANCHORAGE,AK,995086804,"Pain Medicine, Interventional Pain Medicine",208VP0014X,0,,1114566536,NPI-2,2020-01-02,2020-01-02,KRIS KILE,Management,"Chiropractor; Preventive Medicine, Sports Medicine; Pain Medicine, Interventional Pain Medicine",United States
ALASKA SHOULDER AND ORTHOPAEDIC INSTITUTE,(907) 646-7846,907-312-7137,2741 DEBARR RD STE C408,,ANCHORAGE,AK,995082980,Orthopaedic Surgery,207X00000X,1,"KURT MENTZER, MD",1538789300,NPI-2,2020-04-22,2024-10-23,KEVIN PAISLEY,Owner,Orthopaedic Surgery,United States
"ANCHORAGE FRACTURE AND ORTHOPAEDIC CLINIC, PC",(907) 563-3145,907-561-3967,4100 LAKE OTIS PKWY STE 220,,ANCHORAGE,AK,995085230,Orthopaedic Surgery,207X00000X,4,"DANIEL BROWN, MD; CHRISTIAN MCCARTNEY, MD; BENJAMIN PACKARD, MD; DOUG VERMILLION, MD",1285677054,NPI-2,2006-06-13,2026-03-24,TAMI MORRILL,Revenue Cycle Manager,Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery,United States
"CINDY M. LEE, LLC",(907) 561-5007,907-561-5057,4100 LAKE OTIS PKWY,SUITE 206,ANCHORAGE,AK,995085229,"Family Medicine, Sports Medicine",207QS0010X,2,"LOREN JENSEN, MD; GEORGE RHYNEER, M.D.",1437487493,NPI-2,2009-12-02,2009-12-02,CINDY LEE,Physician/Owner,"Family Medicine, Sports Medicine",United States
DOUG A VERMILLION MD,(907) 644-6055,907-644-4885,2741 DEBARR RD,SUITE C-308,ANCHORAGE,AK,995082953,Orthopaedic Surgery,207X00000X,1,"MICHAEL GEITZ, MD",1386792547,NPI-2,2007-01-06,2020-08-22,JOSEPH BEATY,Billing Agent,Orthopaedic Surgery,United States
"ENHANCE ORTHOPEDIC SURGERY, LLC",(907) 444-5501,907-222-5947,1200 AIRPORT HEIGHTS DR,SUITE 190,ANCHORAGE,AK,995082965,Orthopaedic Surgery,207X00000X,3,"CHARLES HIGHTOWER, M.D.; PETER SCHAAB, M.D.; W. WICKLER, D.o.",1699211342,NPI-2,2017-01-18,2019-04-19,CHARLES HIGHTOWER,Member,Orthopaedic Surgery,United States
JEFFREY S. MOORE MD AND ELISHA T. POWELL IV MD LLC,(907) 279-2663,907-222-1774,2751 DEBARR RD,SUITE 310,ANCHORAGE,AK,995082953,"Orthopaedic Surgery, Sports Medicine",207XX0005X,1,"ROBERT GIERINGER, MD",1467502567,NPI-2,2007-01-11,2011-08-29,ANDREA MCGUIRE,Billing Manager,"Orthopaedic Surgery, Sports Medicine",United States
"JOHN D. FROST, M.D., APC",(907) 563-7072,907-562-5742,4100 LAKE OTIS PKWY,#302,ANCHORAGE,AK,995085222,"Physician Assistant, Medical",363AM0700X,2,"LOREN JENSEN, MD; GEORGE RHYNEER, M.D.",1871709873,NPI-2,2007-05-15,2025-09-11,JOHN FROST,Owner,"Orthopaedic Surgery; Physician Assistant, Medical",United States
JOHN T. DUDDY M.D. PC,(907) 278-8141,907-279-3527,2741 DEBARR RD,STE C305,ANCHORAGE,AK,995082953,Orthopaedic Surgery,207X00000X,1,"MICHAEL GEITZ, MD",1679796460,NPI-2,2007-04-10,2011-12-27,JOHN DUDDY,Practice Owner,Orthopaedic Surgery,United States
"MCNAMARA HAND, LLC",(907) 802-6803,,4015 LAKE OTIS PKWY STE 100,,ANCHORAGE,AK,995085235,Orthopaedic Surgery,207X00000X,1,"MICHAEL MCNAMARA, M. D.",1003665563,NPI-2,2024-05-16,2024-10-23,MICHAEL MCNAMARA,owner/physician,"Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery",United States
"MEDICAL NETWORK OF ALASKA, LLC",(907) 336-3145,,12350 INDUSTRY WAY STE 110,,ANCHORAGE,AK,995154301,Orthopaedic Surgery,207X00000X,0,,1477251189,NPI-2,2023-02-21,2023-02-21,JACQUELYN BLOMKER,Director of Revenue Cycle,Orthopaedic Surgery,United States
"MEDICAL NETWORK OF ALASKA, LLC",(907) 563-3145,907-561-3967,4100 LAKE OTIS PKWY STE 220,,ANCHORAGE,AK,995085230,Orthopaedic Surgery,207X00000X,4,"DANIEL BROWN, MD; CHRISTIAN MCCARTNEY, MD; BENJAMIN PACKARD, MD; DOUG VERMILLION, MD",1326753021,NPI-2,2023-01-17,2023-01-17,JACQUELYN BLOMKER,Director of Revenue Cycle,Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery,United States
ORTHOALASKA LLC,(907) 563-3145,907-561-3967,3831 PIPER ST STE S220,,ANCHORAGE,AK,995084680,Orthopaedic Surgery,207X00000X,1,"KENNETH THOMAS, M.D.",1932571940,NPI-2,2015-10-29,2015-10-29,SHAWNA BAILEY,Business Office Manager,Orthopaedic Surgery,United States
"ORTHOALASKA, LLC",(907) 562-2277,907-563-3460,3801 LAKE OTIS PKWY STE 300,,ANCHORAGE,AK,995085234,Orthopaedic Surgery,207X00000X,16,"TUCKER DRURY, MD; IAIN ELLIOTT, M.D.; ADAM ELLISON, M.D.; GENE FALKOWSKI, D.O.; MARY FOX, M.D.; RABUN FOX; BRYAN HAUGHOM, MD; JESSIE JANOWSKI, M.D.; DANN LAUDERMILCH, M.D.; CURTIS MINA, M.D.",1871529990,NPI-2,2006-06-23,2016-05-19,EUGENE CHANG,Physician/Owner,"Durable Medical Equipment & Medical Supplies, Customized Equipment; Internal Medicine, Rheumatology; Orthopaedic Surgery",United States
"ORTHOALASKA, LLC",(907) 562-2277,907-563-3460,3801 LAKE OTIS PKWY,SUITE 300,ANCHORAGE,AK,995085234,Orthopaedic Surgery,207X00000X,6,"OWEN ALA, MD; ROSS BRUDENELL, M.D.; MARK FLANUM, M.D.; DERRICK FOGE, MD; CHRISTOPHER MANION, MD; GREGORY SCHWEIGER, M.D.",1336504521,NPI-2,2015-12-15,2026-02-10,ELISHA POWELL,Physician/Owner,"Physician Assistant; Internal Medicine, Rheumatology; Physical Medicine & Rehabilitation; Radiology, Diagnostic Radiology; Podiatrist, Foot & Ankle Surgery; Nurse Practitioner; Physical Therapist; Durable Medical Equipment & Medical Supplies; Physical Therapy Assistant; Family Medicine; Occupational Therapist; Dietitian, Registered; Pain Medicine, Interventional Pain Medicine; Clinic/Center, Urgent Care; Orthopaedic Surgery",United States
"ORTHONOW ALASKA, LLC",(907) 802-6803,,4015 LAKE OTIS PKWY STE 100,,ANCHORAGE,AK,995085235,"Clinic/Center, Urgent Care",261QU0200X,1,"MICHAEL MCNAMARA, M. D.",1922857325,NPI-2,2024-05-16,2024-05-16,MICHAEL MCNAMARA,Owner/Physician,"Emergency Medicine, Sports Medicine; Clinic/Center, Urgent Care",United States
ORTHOPAEDIC RESEARCH CLINIC OF ALASKA INC,(907) 644-6055,907-644-4885,2741 DEBARR RD,SUITE C-214,ANCHORAGE,AK,99508,Orthopaedic Surgery,207X00000X,1,"MICHAEL GEITZ, MD",1760691612,NPI-2,2007-05-21,2018-05-14,JILL CARROLL,Practice manager,Orthopaedic Surgery,United States
